Index,Distance,Pattern,Meter,Method
191,0.218,"[1,0,0,0,1,0,1,0,1,0,0,0,1,0]","[7,8]",metricSync
192,0.219,"[1,0,1,0,1,0,0,0,1,0,1,0]","[3,4]",metricSync
193,0.219,"[1,0,1,0,0,0,1,0,1,0,1,0]","[3,4]",metricSync
194,0.219,"[1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0]","[6,4]",metricSync
195,0.219,"[1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0]","[6,4]",metricSync
196,0.219,"[1,0,1,0,0,0,1,0,1,0,1,0]","[6,8]",metricSync
197,0.219,"[1,0,1,0,1,0,0,0,1,0,1,0]","[6,8]",metricSync
198,0.219,"[1,0,1,0,1,0,1,0,0,0,1,0]","[3,4]",metricSync
199,0.219,"[1,0,0,0,1,0,1,0,1,0,1,0]","[3,4]",metricSync
200,0.219,"[1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0]","[6,4]",metricSync
201,0.219,"[1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0]","[6,4]",metricSync
202,0.219,"[1,0,1,0,1,0,1,0,0,0,1,0]","[6,8]",metricSync
203,0.219,"[1,0,0,0,1,0,1,0,1,0,1,0]","[6,8]",metricSync
204,0.221,"[1,0,1,0,1,0,1,0,1,0,0,0,0,0]","[7,8]",metricSync
205,0.222,"[0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0]","[5,4]",metricSync
206,0.225,"[1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0]","[9,4]",metricSync
207,0.228,"[0,0,1,0,1,0,1,0,1,0,1,0]","[6,8]",metricSync
208,0.257,"[1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0]","[5,4]",metricSync
209,0.257,"[1,0,1,0,1,0,1,0,1,0]","[5,8]",metricSync
